table,column,dtype,null_count,null_pct,n_unique,table_rows,table_duplicate_rows
listings_summary,id,int64,0,0.0,28806,28806,0
listings_summary,name,str,0,0.0,26604,28806,0
listings_summary,host_id,int64,0,0.0,8874,28806,0
listings_summary,host_name,str,9,0.03,6869,28806,0
listings_summary,neighbourhood_group,float64,28806,100.0,0,28806,0
listings_summary,neighbourhood,str,0,0.0,50,28806,0
listings_summary,latitude,float64,0,0.0,20113,28806,0
listings_summary,longitude,float64,0,0.0,20799,28806,0
listings_summary,room_type,str,0,0.0,4,28806,0
listings_summary,price,float64,5533,19.21,4489,28806,0
listings_summary,minimum_nights,int64,0,0.0,105,28806,0
listings_summary,number_of_reviews,int64,0,0.0,402,28806,0
listings_summary,last_review,str,10090,35.03,1902,28806,0
listings_summary,reviews_per_month,float64,10090,35.03,679,28806,0
listings_summary,calculated_host_listings_count,int64,0,0.0,90,28806,0
listings_summary,availability_365,int64,0,0.0,366,28806,0
listings_summary,number_of_reviews_ltm,int64,0,0.0,139,28806,0
listings_summary,license,float64,28806,100.0,0,28806,0
listings_detailed,id,int64,0,0.0,28806,28806,0
listings_detailed,listing_url,str,0,0.0,28806,28806,0
listings_detailed,scrape_id,int64,0,0.0,1,28806,0
listings_detailed,last_scraped,str,0,0.0,3,28806,0
listings_detailed,source,str,0,0.0,2,28806,0
listings_detailed,name,str,0,0.0,26603,28806,0
listings_detailed,description,str,776,2.69,18539,28806,0
listings_detailed,neighborhood_overview,str,19322,67.08,6109,28806,0
listings_detailed,picture_url,str,0,0.0,26411,28806,0
listings_detailed,host_id,int64,0,0.0,8874,28806,0
listings_detailed,host_url,str,0,0.0,8874,28806,0
listings_detailed,host_name,str,9,0.03,6869,28806,0
listings_detailed,host_since,str,9,0.03,3756,28806,0
listings_detailed,host_location,str,7394,25.67,421,28806,0
listings_detailed,host_about,str,11990,41.62,3871,28806,0
listings_detailed,host_response_time,str,5647,19.6,4,28806,0
listings_detailed,host_response_rate,str,5647,19.6,54,28806,0
listings_detailed,host_acceptance_rate,str,4279,14.85,100,28806,0
listings_detailed,host_is_superhost,str,1610,5.59,2,28806,0
listings_detailed,host_thumbnail_url,str,9,0.03,8429,28806,0
listings_detailed,host_picture_url,str,9,0.03,8429,28806,0
listings_detailed,host_neighbourhood,str,19436,67.47,139,28806,0
listings_detailed,host_listings_count,float64,9,0.03,140,28806,0
listings_detailed,host_total_listings_count,float64,9,0.03,173,28806,0
listings_detailed,host_verifications,str,9,0.03,7,28806,0
listings_detailed,host_has_profile_pic,str,9,0.03,2,28806,0
listings_detailed,host_identity_verified,str,9,0.03,2,28806,0
listings_detailed,neighbourhood,str,19322,67.08,607,28806,0
listings_detailed,neighbourhood_cleansed,str,0,0.0,50,28806,0
listings_detailed,neighbourhood_group_cleansed,float64,28806,100.0,0,28806,0
listings_detailed,latitude,float64,0,0.0,20113,28806,0
listings_detailed,longitude,float64,0,0.0,20799,28806,0
listings_detailed,property_type,str,0,0.0,80,28806,0
listings_detailed,room_type,str,0,0.0,4,28806,0
listings_detailed,accommodates,int64,0,0.0,16,28806,0
listings_detailed,bathrooms,float64,5589,19.4,31,28806,0
listings_detailed,bathrooms_text,str,122,0.42,63,28806,0
listings_detailed,bedrooms,float64,1304,4.53,29,28806,0
listings_detailed,beds,float64,5582,19.38,32,28806,0
listings_detailed,amenities,str,0,0.0,22792,28806,0
listings_detailed,price,str,5533,19.21,4489,28806,0
listings_detailed,minimum_nights,int64,0,0.0,105,28806,0
listings_detailed,maximum_nights,int64,0,0.0,154,28806,0
listings_detailed,minimum_minimum_nights,float64,3,0.01,106,28806,0
listings_detailed,maximum_minimum_nights,float64,3,0.01,107,28806,0
listings_detailed,minimum_maximum_nights,float64,3,0.01,138,28806,0
listings_detailed,maximum_maximum_nights,float64,3,0.01,137,28806,0
listings_detailed,minimum_nights_avg_ntm,float64,0,0.0,392,28806,0
listings_detailed,maximum_nights_avg_ntm,float64,0,0.0,329,28806,0
listings_detailed,calendar_updated,float64,28806,100.0,0,28806,0
listings_detailed,has_availability,str,2248,7.8,1,28806,0
listings_detailed,availability_30,int64,0,0.0,31,28806,0
listings_detailed,availability_60,int64,0,0.0,61,28806,0
listings_detailed,availability_90,int64,0,0.0,91,28806,0
listings_detailed,availability_365,int64,0,0.0,366,28806,0
listings_detailed,calendar_last_scraped,str,0,0.0,3,28806,0
listings_detailed,number_of_reviews,int64,0,0.0,402,28806,0
listings_detailed,number_of_reviews_ltm,int64,0,0.0,139,28806,0
listings_detailed,number_of_reviews_l30d,int64,0,0.0,29,28806,0
listings_detailed,availability_eoy,int64,0,0.0,97,28806,0
listings_detailed,number_of_reviews_ly,int64,0,0.0,142,28806,0
listings_detailed,estimated_occupancy_l365d,int64,0,0.0,95,28806,0
listings_detailed,estimated_revenue_l365d,float64,5533,19.21,9273,28806,0
listings_detailed,first_review,str,10090,35.03,3396,28806,0
listings_detailed,last_review,str,10090,35.03,1902,28806,0
listings_detailed,review_scores_rating,float64,10090,35.03,147,28806,0
listings_detailed,review_scores_accuracy,float64,10090,35.03,139,28806,0
listings_detailed,review_scores_cleanliness,float64,10091,35.03,154,28806,0
listings_detailed,review_scores_checkin,float64,10093,35.04,140,28806,0
listings_detailed,review_scores_communication,float64,10091,35.03,138,28806,0
listings_detailed,review_scores_location,float64,10094,35.04,153,28806,0
listings_detailed,review_scores_value,float64,10096,35.05,146,28806,0
